video_id;caption
1;A man is seen lifting a heavy box from a conveyor belt in a workshop
2;A woman is assembling machine parts
3;A man is fixing an industrial panel
4;A female worker leans over a production line
5;The footage shows a man standing on a step ladder
6;A woman kneels next to a rolling cart
7;A male worker pulls a lever
8;The scene captures a woman pushing a cart across the factory floor
9;A man tightens screws on a metallic sheet using a handheld drill
10;A woman stretches forward to inspect a malfunctioning control panel
11;A technician looks over a circuit board
12;A woman reaches sideways to grab a part from a neighboring assembly bin
13;A man is filmed turning knobs on a large machine
14;A female worker bends sideways to grab a dropped tool from the floor
15;A man is seen using a wrench
16;A woman rests one arm on the table
17;The footage shows a man pulling a hose toward a hydraulic system
18;A woman places an item behind her on a shelf
19;A male employee leans into a large tank
20;A woman is shown standing in a room full of boxes
21;A man sits on a rolling stool
22;A woman bends her knees to lift up a box
23;The scene captures a man adjusting overhead wires
24;A female employee stacks boxes onto a high shelf
25;A man is observed dragging a large bin across a cluttered work zone
26;A woman holds a clipboard in one hand
27;The footage shows a man walking
28;A woman sits on a chair working at a computer
29;A man lifts a panel using both hands
30;A woman is seen walking quickly
31;The clip shows a man reaching backward to grab a container off a rack
32;A female worker uses a lever to operate machinery
33;A man kneels  to reach a part of a car
34;A woman is seated at an office desk
35;A male employee picks up boxes
36;The footage shows a woman in a squatting position
37;A man is tightening overhead bolts  a ratchet
38;A woman writes on her computer
39;A man draggs a pallet accross the factory floor
40;A woman assembles something
41;A man stands at his standing desk 
42;A woman adjusts knobs on a wall-mounted unit
43;A male worker makes coffee
44;A woman stands on a narrow ledge to reach a high component
45;A technician is shown twisting cables into place behind a large machine
46;A woman sits  one leg propped up
47;A man is standing at a copier machine.
48;A woman is organizing papers on a desk.
49;A man is entering a meeting room.
50;A woman is standing at a desk monitor.
51;A man lifts a heavy crate using both hands
52;A woman turns her neck sharply to monitor a control screen behind her
53;A man is plugging a cable into a computer.
54;A woman pushes open a heavy safety door using her shoulder
55;A woman is placing office supplies into a drawer.
56;A woman places a box on a shelf
57;A man is checking his phone.
58;A woman is adjusting a chair.
59;A man presses hard on a stuck button
60;A janitor is mopping the office hallway.
61;A receptionist is answering a phone at the front desk.
62;A woman grabs multiple tools at once
63;A cleaning staff member is wiping down a conference table.
64;A worker is replacing a ceiling tile.
65;A receptionist is scanning documents.
66;A technician is replacing a conveyor belt sensor.
67;A staff member is securing straps around a large package.
68;A worker is unlocking a tool cabinet.
69;An employee is removing debris from a machine filter.
70;A technician is checking pressure levels on a gauge.
71;An employee is flipping a switch on an equipment panel.
72;A technician is measuring components with a caliper.
73;A staff member is disconnecting wires from a terminal.
74;A worker is inspecting parts under a magnifying lamp.
75;An employee is placing finished items on a shelf.
76;A staff member is cleaning safety goggles.
77;A worker is restocking supply bins.
78;An employee is folding protective aprons.
79;A technician is routing cables through cable trays.
80;A staff member is reviewing floor schematics.
81;A worker is tightening screws on a small motor.
82;An employee is cleaning a touchscreen interface.
83;A machine operator is inserting raw parts into a press.
84;A staff member is closing a shipping container.
85;A staff member is aligning brackets during assembly.
86;A worker is unrolling wire from a spool.
87;An employee is replacing gloves from a dispenser.
88;A technician is inspecting weld joints for defects.
89;A staff member is adjusting a laser cutter tray.
90;A worker is organizing power tools in a drawer.
91;An employee is pushing a bin through the production area.
92;A technician is logging in to a workstation.
93;A staff member is removing scrap from the floor.
94;A worker is applying labels to boxes.
95;An employee is loading heavy items onto a dolly.
96;A technician is reattaching a machine panel.
97;A staff member is updating inventory software.
98;A worker is measuring pipe segments on a table.
99;An employee is stacking filled containers by height.
100;A technician is wiping off a lens on inspection equipment.
101;A staff member is changing out a safety sign.
102;A worker is lowering a mechanical lift with a control panel.
103;A staff member is welding two metal frames together.
104;A worker is organizing tools on a wall-mounted rack.
105;An employee is carrying a toolbox across the factory floor.
106;A machine operator is pressing a control button on a console.
107;A worker is wrapping finished products in protective film.
108;A technician is lifting a machine panel for inspection.
109;An employee is aligning parts on an assembly jig.
110;A worker is opening a supply cabinet.
111;A woman is walking along a production line.
112;A man is removing a part from the inspection table.
113;A woman is loading packaging materials into a dispenser.
114;A woman is flipping switches on a large control board.
115;A man is scanning components with a barcode reader.
116;A woman is sweeping debris into a dustpan.
117;A man is applying a tracking tag to a finished unit.
118;A woman is organizing manuals on a storage rack.
119;A man is replacing tubing in a mechanical system.
120;A woman is placing documents into a folder.
121;A man is rolling a tool cart to the next station.
122;A women is working with a laptop at a standing desk
123;A woman is walking across the workshop with a clipboard.
124;A man is installing a small part on an assembly line.
125;A woman is removing packaging from new supplies.
126;A woman is adjusting straps on a safety harness.
127;A woman is placing items into small containers.
128;A man is measuring a part on a worktable.
129;A woman is moving boxes onto a conveyor belt.
130;A man climbs a short ladder to access a supply shelf.
131;A female worker attaches labels to packages on a moving line.
132;A woman is seen restocking cleaning supplies from a cart.
133;A man stacks boxes onto a pallet near a warehouse door.
134;A woman types into a computer while seated at a desk.
135;A male employee uses both hands to lift a container.
136;A technician presses buttons on a control box while monitoring a display.
137;A woman stands at a counter preparing materials
138;A man sits at a desk and assembles something
139;A woman works on something with her hands
